,nose,chest,rightShoulder,rightElbow,rightHand,leftShoulder,leftElbow,leftHand,hip,rightLeg,rightKnee,rightAnkle,leftLeg,leftKnee,leftAnkle,rightEye,leftEye,rightEar,leftEar,rightFoot,rightTip,rightHeel,leftFoot,leftTip,leftHeel
0,281.84998,285.60342,244.3272,228.07614,218.11209,326.91623,345.6328,336.8911,284.32608,255.64217,220.08067,234.35085,308.13568,333.11856,319.36484,270.596,290.62195,255.6611,305.62848,0,0,0,225.58704,223.08,0
1,111.774704,156.85968,156.84407,184.30345,208.06612,158.06912,200.59355,194.28961,270.59012,266.85675,330.12265,418.63388,273.10474,343.14545,426.8844,104.25319,103.00831,111.814545,106.79143,0,0,0,346.89432,351.85455,0
2,281.86972,285.60553,244.31262,226.85905,218.08032,328.12512,345.6279,338.1483,284.38727,258.10553,220.08028,234.32056,309.37152,333.1216,0,270.60623,291.82913,256.82773,305.64056,0,0,0,225.57185,0,0
3,111.7838,158.06064,156.85242,185.57446,214.31496,159.2922,201.56389,193.06828,268.12466,265.63354,330.12143,419.38434,273.07318,343.1133,0,104.251625,103.00593,112.999054,106.79975,0,0,0,346.90536,0,0
4,281.85608,285.55966,243.09512,225.62987,216.87282,326.88647,345.62387,338.16208,284.37604,258.09924,220.08067,235.57648,309.36316,333.1095,0,270.60333,291.8491,256.83746,305.6713,0,0,0,226.85197,224.31027,245.59898
5,112.998505,158.04813,158.05095,191.8207,216.87907,156.85577,201.38136,191.81802,268.09445,265.61172,330.12198,418.3716,271.84622,344.35873,0,104.26656,103.054276,113.00474,106.80748,0,0,0,349.37814,350.6052,345.66675
6,281.8535,284.40094,243.09467,225.62498,218.07819,325.64978,345.6506,339.37637,285.56903,259.3511,220.55739,229.3363,310.61032,330.6405,0,270.60742,291.84024,256.84637,305.66907,0,0,0,225.57654,0,0
7,112.99398,156.8432,158.05128,193.04811,215.62598,156.8178,202.30339,189.3449,269.33932,266.84183,330.09674,417.63306,271.8669,344.40228,0,104.27013,103.06154,112.99487,106.803604,0,0,0,346.90204,0,0
8,281.8741,284.36035,243.05429,225.62112,216.84714,325.6241,345.64777,340.6135,284.37787,258.12064,220.54642,229.3516,308.1431,330.64053,0,271.82236,291.85858,256.83633,305.66754,0,0,0,225.56743,0,0
9,111.794586,156.80003,158.04227,194.30185,218.11493,155.60387,202.856,186.84149,268.09378,265.6374,330.11185,417.3625,270.6175,344.39325,0,104.264694,103.04865,112.993484,106.834305,0,0,0,345.65155,0,0
